cve_id,repo_id,candidate_id,candidate_commit_sha,canonical_or_related_commit_sha,source_lane,manual_event_label,manual_confidence,anchor_semantically_valid,relocated_context_valid,is_recommended_intro,manual_evidence_quality,manual_notes
CVE-2020-11647,wireshark,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,59277781ffca,strong,prerequisite_or_refactor,medium_high,true,false,false,partial,"Touches fAbstractSyntaxNType and passes packet_info through recursive decode functions, but does not introduce the unbounded recursion."
CVE-2020-11647,wireshark,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,01f7356f85d33567a25e722e6488addd72ff64d4,,strong,unrelated_refactor,high,false,false,false,weak,Dissector registration refactor. Anchor text is only 'static int' and is not a meaningful vulnerable predicate.
CVE-2020-11647,wireshark,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,,strong,refactor,high,partial,true,false,partial,"Parser loop condition cleanup. The region is related, but it does not introduce missing recursion-depth protection."
CVE-2020-11984,httpd,pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d,99c59e098103ccf13b833281ec08493e042dfee0,,strong,branch_local_vulnerability_introduction,high,true,true,true,strong,Adds mod_proxy_uwsgi.c to the 2.4.x branch with apr_uint16_t pktsize and no APR_UINT16_MAX size guard before packet serialization.
CVE-2020-11984,httpd,pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1,23394f444cc73d6b01af5a8109f79c156a26607c,,strong,refactor_type_alias,high,true,true,false,medium,Changes uint16_t to apr_uint16_t only. The vulnerable 16-bit packet-size state remains unchanged.
CVE-2020-11984,httpd,pre-fix-line:ee07dfbbcdcd44a10b6fc69641be54ba4a4b23bc3787b9390e7fff4211e06c42,da54e90ddaa01c02a68fda8dc08004c97cb4aa2b,7a6038c97eb8fe1578bc33b73f4f88904639988f,strong,vulnerability_introduction,high,true,true,true,strong,"Adds the original trunk mod_proxy_uwsgi.c with uint16_t pktsize and no packet size guard. Normal blame may point to formatting commit 7a6038, but -w/pickaxe recover the true semantic event."
CVE-2020-12284,FFmpeg,pre-fix-line:0010b4f1922aa4e985d49e5b71d6445084577185ae70002d05f6167acef5cd71,525de2000b018c659c5dd472610305cb2ffb9edc,,fallback,vulnerability_introduction,high,false,true,true,strong_commit_weak_anchor,The commit adds cbs_jpeg.c with attacker-controlled SOS length used by memcpy without checking length <= end-start. The anchor `} else {` is structurally valid but semantically meaningless; the correct commit was reached accidentally through whole-file introduction.
CVE-2020-13904,FFmpeg,pre-fix-line:0212df271d92dd44b986cd02a350820da22f9dcc648f3465b081fc3ce764d481,84465f2180308a3e998089517e76586563fd6162,513a431e073a,,unrelated_invalid_anchor,high,false,false,false,weak,Generic branch delimiter with no vulnerability predicate.
CVE-2020-13904,FFmpeg,pre-fix-line:0002f876174573d8e122ee78ad1db589fdf0df48b76d13c759ad8a8e7bb4564d,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,,,prerequisite,medium,partial,partial,false,partial,Introduces broad HLS demuxer support but is too broad to be the specific URL-copy UAF introduction.
CVE-2020-13904,FFmpeg,pre-fix-line:0008c6bf60e9b7937ef5c7de88a23250e6b354f72d0840da5de60014f5a25d7b,4e0860e36305c768c3d97b41d38122e59a18da87,,,prerequisite_or_unrelated,medium,partial,partial,false,weak,"Broken-playlist handling may affect lifecycle, but evidence is insufficient for UAF introduction."
CVE-2020-13904,FFmpeg,pre-fix-line:00df78cb4eec4668b1087254139926f54126d618b4660f484a3d49a2729976b2,9371d70bad2eab6c95df7d182d08e1cc53c6099a,,,refactor_or_prerequisite,medium_high,true,partial,false,medium,"Playlist/variant structural refactor preserving dangerous call shape, but not the earliest semantic introduction."
CVE-2020-13904,FFmpeg,pre-fix-line:02183be7bf482136c228a0b81dd430220b6a431aa3a66a634c2748a97d01400c,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,,,vulnerability_introduction,high,true,true,true,strong,Introduces custom AVIOContext/read_data and probes using the segment URL. Later av_strdup fix directly matches this risk.
CVE-2020-15389,openjpeg,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,055d429ae11ad98dfd3dc68d188ec538588d805c,,strong,refactor_api_rename,high,true,true,false,medium,"Renames cio/dinfo to l_stream/l_codec and updates the API. The resource variables were already function-scoped before this commit, so it does not establish the earliest stale-pointer boundary."
CVE-2020-15389,openjpeg,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,27e255fa75b7b9e989de3ec379c9de2b7462983b,,strong,vulnerability_introduction,high,true,partial_due_to_ambiguous_relocation,true,strong,"Changes image to a function-scoped pointer initialized once outside the directory loop. The pointer is destroyed per iteration but not reset, enabling a later invalid image path to destroy a stale pointer."
CVE-2020-15389,openjpeg,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,028088f5f077b6cc666f8152736398df68ec239b,,strong,secondary_vulnerability_introduction,medium_high,true,true,false,strong,Adds function-scoped cstr_index and destroys it per loop iteration without resetting it. This introduces the same stale-resource pattern for an additional resource but is not the earliest primary boundary.
