cve_id,status,json_parse_status,contract_ok,failure_class,accepted_for_semantic_metric,fix_set_structurally_complete,fix_set_semantically_complete,mechanism_correct,vulnerable_predicate_correct,fix_predicate_correct,anchor_file_correct,anchor_function_correct,anchor_hunk_correct,evidence_link_precise,unsupported_inference,fix_set_complete,minimality_correct,overall_root_cause_correct,severity,reviewer_notes
CVE-2020-14212,ingested_raw,fenced_json,True,none,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,"Core FFmpeg DNN operand-index mechanism is right, but semantic hunk coverage is incomplete: anchors cover dnn_backend_native.c top-level operand hunk only and miss layer-loader operand-index guard hunks."
CVE-2020-19667,rejected,fenced_json,False,structural_gate/function_binding,0,N/A,N/A,1,1,1,1,0,1,0,0,0,1,0,1,"Rejected by function binding: CodeAnchor names ReadXPMImage without function_id. Patch hunk and model semantics are plausible, but structural gate rejects anchor, predicates, and fix set."
CVE-2020-8231,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,1,1,1,1,1,0,0,1,0,1,0,"curl UAF mechanism is correct, but evidence link is incomplete because anchors omit multi.c lifecycle hunks that explain how lastconnect becomes stale after handle or connection removal."
CVE-2020-11984,ingested_raw,fenced_json,True,none,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"httpd mod_proxy_uwsgi core mechanism is supported across both fix commits: pktsize type widening plus APR_UINT16_MAX guard. Caveat: model conflates 16K wording with actual 65535 guard and overstates potential buffer overflow."
CVE-2022-0171,parse_error,malformed,False,schema_validation_missing_path,0,N/A,N/A,1,1,1,0,1,0,0,0,0,0,0,1,"Raw response is fenced JSON, but schema validation fails because code_anchors.1.path through code_anchors.4.path are missing. Raw KVM SEV cache-flush semantics are plausible, but parse/schema failure forces overall 0."
CVE-2022-0286,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,1,1,1,1,1,1,0,1,1,1,0,"Linux bonding root cause is exact: bond_ipsec_add_sa dereferenced bond->curr_active_slave via slave->dev without a NULL check; patch adds if (!slave) unlock and return -ENODEV."
CVE-2020-15389,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,1,1,1,1,1,1,1,1,1,1,0,"openjpeg mechanism is supported: image, l_stream, l_codec, and cstr_index NULL initialization moved into the per-image loop. Direct evidence supports double-free; UAF wording is unsupported overreach."
CVE-2020-1967,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,1,1,1,1,1,1,1,1,0,1,0,"OpenSSL tls1_check_sig_alg NULL dereference is supported by sigalg != NULL guard. Caveat: model generalizes NULL source and omits TLS 1.3 SSL_check_chain callback trigger constraints."
CVE-2020-11869,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,0,0,1,1,1,0,1,1,0,0,1,"QEMU ati_2d_blt direction is partly right, but model treats all patch changes as root cause. bpp and stride checks are supported; division-by-zero, broad OOB, integer overflow/underflow, and coordinate-update trigger are overbroad."
CVE-2020-13164,ingested_raw,fenced_json,True,none,1,N/A,N/A,1,1,1,1,1,1,0,1,1,0,1,0,"Wireshark NFS recursion-depth mechanism is correct. Caveat: patch is depth-threshold based, not visited-set cycle detection; anchors include include/expert registration plumbing beyond minimal root-cause evidence."
