cve_id,repo,root_cause_status,szz_handoff_status,status,censored_stage,censored_reason,resolved_anchor_count,blame_status,candidate_commit_count,taxonomy,errors,original_candidate_count,compacted_candidate_count,prompt_bytes,root_cause_hunks_total,root_cause_hunks_preserved,fix_commits_total,fix_commits_prompt_covered
CVE-2020-12284,FFmpeg,ingested_raw,contract_rejected,censored,szz_handoff,szz_handoff_blocked,0,not_evaluable,0,"{""weak_root_cause_binding"": 3, ""fix_family_incomplete"": 1, ""fix_commit_incomplete"": 3, ""no_blameable_anchor_selected"": 1}","[""weak_root_cause_binding:pre-fix-line:6c610a5fd933ca2963ed4247f6687c5cde7225ab738da50833bb173c1e186010"", ""weak_root_cause_binding:pre-fix-line:13f3a1699cbe0dfec8517fe6ce2debf9f39e9a37ec6c23509cda5cf08af71716"", ""weak_root_cause_binding:pre-fix-line:624fe3d921a1a91d5df352f3fc7decc97743991febd9ced7ef361f6279c1687a"", ""fix_commit_incomplete:patch-family:2f1257ccf171d97dee950e98b2ec16e6ee837d14:fix-commit:FFmpeg:1812352d767ccf5431aa440123e2e260a4db2726"", ""fix_commit_incomplete:patch-family:2f1257ccf171d97dee950e98b2ec16e6ee837d14:fix-commit:FFmpeg:838105153a579ff0cea0794afc0275c19c51d3a7"", ""fix_commit_incomplete:patch-family:2f1257ccf171d97dee950e98b2ec16e6ee837d14:fix-commit:FFmpeg:a3a3730b5456ca00587455004d40c047f7b20a99"", ""fix_family_incomplete:patch-family:2f1257ccf171d97dee950e98b2ec16e6ee837d14"", ""no_blameable_anchor_selected""]",384,40,60485,3,3,3,3
CVE-2020-13904,FFmpeg,rejected,not_run_root_cause_blocked,censored,root_cause,root_cause_structural_blocked,0,not_evaluable,0,"{""fix_set_incomplete"": 2, ""consequence_stated_as_root_cause"": 1}","[""no declared fix set has complete gated CodeAnchor coverage: ['CVE-2020-13904:fix-set:1']""]",,,,,,,
CVE-2020-14212,FFmpeg,ingested_raw,contract_rejected,censored,szz_handoff,szz_handoff_blocked,0,not_evaluable,0,"{""weak_root_cause_binding"": 1, ""fix_family_incomplete"": 1, ""fix_commit_incomplete"": 1}","[""weak_root_cause_binding:pre-fix-line:7ac54d155ba9e2da5ec2beb95c4f6cf75019996622419da64389c46f09695479"", ""fix_commit_incomplete:patch-family:1f6ce52f72707cf7a5684d7548987f93e7d9128b:fix-commit:FFmpeg:dd273d359e45ab69398ac0dc41206d5f1a9371bf"", ""fix_family_incomplete:patch-family:1f6ce52f72707cf7a5684d7548987f93e7d9128b""]",630,42,64760,2,2,2,2
CVE-2020-10251,ImageMagick,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,2,success,2,{},[],14,14,27559,1,1,1,1
CVE-2020-19667,ImageMagick,parse_error,not_run_root_cause_blocked,censored,root_cause,root_cause_not_ingested_raw,0,not_evaluable,0,{},"[""assistant output does not contain a JSON object""]",,,,,,,
CVE-2020-25663,ImageMagick,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,2,success,2,{},[],335,40,58863,2,2,1,1
CVE-2020-8169,curl,ingested_raw,handoff_parse_error,censored,szz_handoff,szz_handoff_blocked,0,not_evaluable,0,{},"[""assistant output does not contain a JSON object""]",8,8,19982,1,1,1,1
CVE-2020-8177,curl,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,3,success,3,{},[],1671,40,58001,2,2,1,1
CVE-2020-8231,curl,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,3,success,2,{},[],117,40,60566,4,4,1,1
CVE-2020-11984,httpd,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,4,success,3,{},[],150,80,110834,6,6,2,2
CVE-2020-11985,httpd,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],7,7,19283,1,1,1,1
CVE-2020-11993,httpd,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],475,80,101337,1,1,2,2
CVE-2022-0171,linux,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,3,success,2,"{""add_only_context_only"": 1}",[],462,41,61290,3,3,1,1
CVE-2022-0185,linux,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],1,1,11858,1,1,1,1
CVE-2022-0264,linux,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],3,3,16665,1,1,1,1
CVE-2022-0286,linux,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,2,success,2,{},[],28,28,43934,1,1,1,1
CVE-2022-0322,linux,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],1,1,13280,1,1,1,1
CVE-2022-0433,linux,ingested_raw,contract_rejected,censored,szz_handoff,szz_handoff_blocked,0,not_evaluable,0,"{""weak_root_cause_binding"": 1, ""add_only_context_only"": 1, ""fix_family_incomplete"": 1, ""fix_commit_incomplete"": 1, ""no_blameable_anchor_selected"": 1}","[""weak_root_cause_binding:pre-fix-line:067e73b6f984b0d5a90040a63bd2c96b143208e29d529248245859929f7c41f4"", ""add_only_context_only:pre-fix-line:067e73b6f984b0d5a90040a63bd2c96b143208e29d529248245859929f7c41f4"", ""fix_commit_incomplete:patch-family:3e09dfa624d24bd03b3c3df778a4c3d8b5076679:fix-commit:linux:3ccdcee28415c4226de05438b4d89eb5514edf73"", ""fix_family_incomplete:patch-family:3e09dfa624d24bd03b3c3df778a4c3d8b5076679"", ""no_blameable_anchor_selected""]",11,11,25829,2,2,1,1
CVE-2020-15389,openjpeg,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,4,success,3,{},[],443,40,59684,2,2,1,1
CVE-2020-27814,openjpeg,rejected,not_run_root_cause_blocked,censored,root_cause,root_cause_structural_blocked,0,not_evaluable,0,"{""missing_patch_hunk_id"": 1, ""predicate_without_anchor"": 2, ""weak_predicate_evidence"": 2, ""explanatory_anchor_in_required_refs"": 1, ""observation_provenance"": 4, ""fix_set_incomplete"": 1}","[""GitObservation obs-git-show-unified-43dd9ee17894 is not trusted: ['observation valid_evidence is not true']"", ""hypothesis hyp-001 references rejected anchor_id: ca-001"", ""hypothesis hyp-001 references rejected vulnerable_predicate_id: vp-001"", ""hypothesis hyp-001 references rejected fix_predicate_id: fp-001"", ""no declared fix set has complete gated CodeAnchor coverage: ['CVE-2020-27814:fix-set:1']""]",,,,,,,
CVE-2020-27823,openjpeg,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,2,success,1,{},[],2,2,13778,1,1,1,1
CVE-2020-1967,openssl,ingested_raw,ingested_raw_candidate,ingested_raw_candidate,,,1,success,1,{},[],1,1,12232,1,1,1,1
CVE-2020-1971,openssl,ingested_raw,contract_rejected,censored,szz_handoff,szz_handoff_blocked,0,not_evaluable,0,"{""add_only_context_only"": 1}","[""add_only_context_only:pre-fix-line:8c20243409e329d7db1668441e128eb86a924ea6caaf05d1032b5f823915bef2""]",8,8,28003,4,4,1,1
