cve_id,mechanism_correct,vulnerable_predicate_correct,fix_predicate_correct,anchor_file_correct,anchor_function_correct,anchor_hunk_correct,evidence_link_precise,unsupported_inference,fix_set_complete,minimality_correct,overall_root_cause_correct,severity,reviewer_notes
CVE-2020-14212,1,0,0,1,1,0,0,1,1,0,0,1,"Core FFmpeg DNN operand-index OOB mechanism is right, but parsed predicates and anchors only cover dnn_backend_native operand_index hunk in both commits and miss the layer loader operand index guards introduced via operands_num. Multi-fix set is structurally present but not semantically covered."
CVE-2020-19667,1,1,1,1,0,1,0,0,0,1,0,1,"Status is rejected due function_binding: CodeAnchor names ReadXPMImage but function_id is missing. Patch hunk adds memset for target and symbolic in coders/xpm.c and semantic explanation is plausible, but gate rejects anchor, predicates, and fix_set."
CVE-2020-8231,1,1,1,1,1,1,0,0,1,0,1,0,"curl UAF mechanism is correct: lastconnect pointer is replaced by lastconnect_id and Curl_getconnectinfo validates by cache lookup. Evidence link is incomplete because anchors omit multi.c add/remove/done/close_connect_only hunks that establish the stale connection lifecycle trigger."
CVE-2020-11984,1,1,1,1,1,1,1,1,1,1,1,0,"httpd mod_proxy_uwsgi core root cause is supported by pktsize type widening and APR_UINT16_MAX guard in both fix commits. Unsupported caveat: model conflates CHANGES 16K wording with actual 65535 guard and overstates Buffer Overflow potential."
CVE-2022-0171,1,1,1,0,1,0,0,0,0,0,0,1,"Parse failure is schema_validation_missing_path, not missing JSON: raw_response is fenced JSON, but code_anchors.1.path through code_anchors.4.path are absent. Raw semantics are plausible for KVM SEV reclaimed guest memory cache flush and stale cacheline risk, but schema rejection forces overall 0."
CVE-2022-0286,1,1,1,1,1,1,1,0,1,1,1,0,"Linux bonding root cause is exact: bond_ipsec_add_sa dereferenced bond->curr_active_slave via slave->dev without a NULL check; patch adds if (!slave) unlock and return -ENODEV in drivers/net/bonding/bond_main.c."
CVE-2020-15389,1,1,1,1,1,1,1,1,1,1,1,0,"openjpeg mechanism is supported: image, l_stream, l_codec, and cstr_index NULL initialization moved from main scope into the per-image loop. Direct evidence supports double-free on mixed valid/invalid image directories; UAF wording is unsupported overreach."
CVE-2020-1967,1,1,1,1,1,1,1,1,1,0,1,0,"OpenSSL tls1_check_sig_alg NULL dereference is correctly supported by sigalg != NULL guard before sigalg->sigandhash. Minor unsupported/minimality issue: model generalizes NULL source to s->shared_sigalgs and omits TLS 1.3 SSL_check_chain callback trigger constraints."
CVE-2020-11869,1,0,0,1,1,1,0,1,1,0,0,1,"QEMU ati_2d_blt direction is partly right, but the model treats all patch changes as root cause. bpp and src/dst stride zero checks are supported; division-by-zero, broad OOB, integer overflow/underflow, and coordinate update logic as CVE trigger are not directly supported."
CVE-2020-13164,1,1,1,1,1,1,0,1,1,0,1,0,"Wireshark NFS recursion-depth mechanism is correct: NFS_MAX_FS_DEPTH and fs_depth proto_data guard stop excessive full-name recursion and set fs_cycle. Unsupported/minimality caveat: patch is depth-threshold based, not visited-set cycle detection; 8 anchors include include/expert registration plumbing."
