run_group,cve_id,candidate_id,candidate_commit_sha,rank,decision,confidence,candidate_source,candidate_anchor_role,risk_flags,evidence_refs_used,top1_raw_candidate_judgment,lifecycle
10,CVE-2020-14212,pre-fix-line:083c7a5c85c1e72eb2e6590d270233a43da76d0b83f315202ad0c070b90c654b,2558e62713ebc5f3ea22c1a28d8e9cf3249badaf,1,plausible_introduction_boundary,low,fallback,dangerous_use,"[""fallback_candidate"", ""no_model_anchor"", ""non_release_tag_noise"", ""weak_root_cause_binding""]","[""szz:pre-fix-line:083c7a5c85c1e72eb2e6590d270233a43da76d0b83f315202ad0c070b90c654b"", ""root_cause:pre-fix-line:083c7a5c85c1e72eb2e6590d270233a43da76d0b83f315202ad0c070b90c654b"", ""candidate:pre-fix-line:083c7a5c85c1e72eb2e6590d270233a43da76d0b83f315202ad0c070b90c654b""]",True,raw_candidate_judged
10,CVE-2020-14212,pre-fix-line:252da387e044ea8aa58535247c3fc7da29e4876f01637bae180f9b4b68f74b19,f73cc61bf5aa383048979f4de2023877c522f6be,2,plausible_introduction_boundary,low,fallback,dangerous_use,"[""fallback_candidate"", ""no_model_anchor"", ""non_release_tag_noise"", ""weak_root_cause_binding""]","[""szz:pre-fix-line:252da387e044ea8aa58535247c3fc7da29e4876f01637bae180f9b4b68f74b19"", ""root_cause:pre-fix-line:252da387e044ea8aa58535247c3fc7da29e4876f01637bae180f9b4b68f74b19"", ""candidate:pre-fix-line:252da387e044ea8aa58535247c3fc7da29e4876f01637bae180f9b4b68f74b19""]",False,raw_candidate_judged
10,CVE-2020-14212,pre-fix-line:0f0923dcbf8a616341a5643f5ba2d4be9e4aae418e9c4a56b79513f732eae792,ffa1561608f513b3a5d3d1568f75126f21bce663,3,plausible_introduction_boundary,low,fallback,dangerous_use,"[""fallback_candidate"", ""no_model_anchor"", ""non_release_tag_noise"", ""weak_root_cause_binding""]","[""szz:pre-fix-line:0f0923dcbf8a616341a5643f5ba2d4be9e4aae418e9c4a56b79513f732eae792"", ""root_cause:pre-fix-line:0f0923dcbf8a616341a5643f5ba2d4be9e4aae418e9c4a56b79513f732eae792"", ""candidate:pre-fix-line:0f0923dcbf8a616341a5643f5ba2d4be9e4aae418e9c4a56b79513f732eae792""]",False,raw_candidate_judged
10,CVE-2020-19667,pre-fix-line:081de3e6ddd81bfee38d7f9c661b74aee80046a0ad41ab6fd24c4504e9abc66c,bd45f324084453a2fb279c5c9b5c5c075bce2904,1,unlikely_boundary,low,fallback,missing_guard_target,"[""add_only_semantic_anchor"", ""fallback_candidate"", ""no_model_anchor"", ""release_reachability_too_broad"", ""weak_root_cause_binding""]","[""candidate:pre-fix-line:081de3e6ddd81bfee38d7f9c661b74aee80046a0ad41ab6fd24c4504e9abc66c"", ""szz:pre-fix-line:081de3e6ddd81bfee38d7f9c661b74aee80046a0ad41ab6fd24c4504e9abc66c"", ""root_cause:pre-fix-line:081de3e6ddd81bfee38d7f9c661b74aee80046a0ad41ab6fd24c4504e9abc66c""]",True,raw_candidate_judged
10,CVE-2020-19667,pre-fix-line:034e75e76c76cd73060c9c0b927089fe1c98411e30a3326e6e69d7c7ffd4bc7e,e7538ca05d229be42443bb927dbc4c8c8f1fc856,2,unlikely_boundary,low,fallback,missing_guard_target,"[""add_only_semantic_anchor"", ""candidate_in_fix_series_hint"", ""fallback_candidate"", ""no_model_anchor"", ""release_reachability_too_broad"", ""weak_root_cause_binding""]","[""candidate:pre-fix-line:034e75e76c76cd73060c9c0b927089fe1c98411e30a3326e6e69d7c7ffd4bc7e"", ""szz:pre-fix-line:034e75e76c76cd73060c9c0b927089fe1c98411e30a3326e6e69d7c7ffd4bc7e"", ""root_cause:pre-fix-line:034e75e76c76cd73060c9c0b927089fe1c98411e30a3326e6e69d7c7ffd4bc7e""]",False,raw_candidate_judged
10,CVE-2020-19667,pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b,3ed852eea50f9d4cd633efb8c2b054b8e33c2530,3,uncertain_boundary,low,fallback,missing_guard_target,"[""add_only_semantic_anchor"", ""boundary_candidate_commit"", ""broad_candidate_range"", ""fallback_candidate"", ""no_model_anchor"", ""release_reachability_too_broad"", ""weak_root_cause_binding"", ""whitespace_sensitive_blame""]","[""candidate:pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b"", ""szz:pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b"", ""root_cause:pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b""]",False,raw_candidate_judged
10,CVE-2020-8231,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,07cb27c98e92649e74a312faf976271fa7da609c,1,uncertain_boundary,medium,strong,dangerous_use,"[""candidate_in_fix_series_hint"", ""whitespace_sensitive_blame""]","[""candidate:pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8"", ""szz:pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8"", ""root_cause:pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8""]",True,raw_candidate_judged
10,CVE-2020-8231,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,d021f2e8a0067fc769652f27afec9024c0d02b3d,2,unlikely_boundary,medium,strong,state_declaration,"[""release_reachability_too_broad""]","[""candidate:pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a"", ""szz:pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a"", ""root_cause:pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a""]",False,raw_candidate_judged
10,CVE-2020-11984,pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d,99c59e098103ccf13b833281ec08493e042dfee0,1,uncertain_boundary,low,strong,state_declaration,"[""non_release_tag_noise""]","[""candidate:pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d"", ""szz:pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d"", ""root_cause:pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d""]",True,raw_candidate_judged
10,CVE-2020-11984,pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1,23394f444cc73d6b01af5a8109f79c156a26607c,2,uncertain_boundary,low,strong,state_declaration,"[""non_release_tag_noise""]","[""candidate:pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1"", ""szz:pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1"", ""root_cause:pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1""]",False,raw_candidate_judged
